PLAYER,TEAM_SH,G,GS,MP,TRB,AST,STL,BLK,PS/G,GP,W,L,NETRTG,TS%,PIE,MPG,RPM,WINS,pageviews,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,POSITION,TEAM,SALARY,AVG,PCT
Reggie Bullock,DET,31,5,15.1,2.1,0.9,0.6,0.1,4.5,31,13,18,5.0,53.8,8.1,15.1,-0.41,0.79,60.195,20.0,13.0, SF,Detroit Pistons,2255644.0,15979,72.4
Stanley Johnson,DET,77,1,17.8,2.5,1.4,0.7,0.3,4.4,77,35,42,0.2,43.6,4.8,17.8,-2.38,0.63,6.921,0.0,19.0, SF,Detroit Pistons,2969880.0,15979,72.4
Noah Vonleh,POR,74,41,17.1,5.2,0.4,0.4,0.4,4.4,74,38,36,-2.0,52.5,7.3,17.1,-2.99,0.11,93.414,23.5,12.0, PF,Portland Trail Blazers,2751360.0,19317,99.4
Brandon Rush,MIN,47,33,21.9,2.1,1.0,0.5,0.5,4.2,47,15,32,-0.8,50.5,4.3,21.9,-3.86,-0.48,242.794,14.0,1.5, SG,Minnesota Timberwolves,3500000.0,14809,76.5
Thon Maker,MIL,57,34,9.9,2.0,0.4,0.2,0.5,4.0,57,31,26,1.3,55.8,7.2,9.9,-1.06,0.7,653.591,0.0,39.5, PF,Milwaukee Bucks,2568600.0,15828,84.6
Jarell Martin,MEM,42,3,13.3,3.9,0.2,0.4,0.2,3.9,42,23,19,-4.1,47.7,6.9,13.3,-3.06,0.02,33.578,2.0,4.0, PF,Memphis Grizzlies,1471382.0,16519,91.2
Malik Beasley,DEN,22,1,7.5,0.8,0.5,0.3,0.0,3.8,22,12,10,15.0,53.6,8.6,7.5,-1.53,0.18,61.28,0.0,14.0, SG,Denver Nuggets,1627320.0,14770,77.1
Kris Dunn,MIN,78,7,17.1,2.1,2.4,1.0,0.5,3.8,78,30,48,-2.8,43.2,5.1,17.1,-3.05,0.06,412.255,165.0,47.0, PG,Minnesota Timberwolves,3872520.0,14809,76.5
Jonas Jerebko,BOS,78,6,15.8,3.5,0.9,0.3,0.2,3.8,78,51,27,3.2,53.7,6.9,15.8,-1.03,1.63,130.587,7.0,17.0, PF,Boston Celtics,5000000.0,18553,99.6
Tyus Jones,MIN,60,0,12.9,1.1,2.6,0.8,0.1,3.5,60,23,37,2.5,52.3,9.6,12.9,-0.23,1.4,240.93,0.0,14.0, PG,Minnesota Timberwolves,1471382.0,14809,76.5
Adreian Payne,MIN,18,0,7.5,1.8,0.4,0.4,0.4,3.5,18,5,13,0.8,50.5,8.2,7.5,-0.33,0.24,75.343,0.0,13.0, PF,Minnesota Timberwolves,2022240.0,14809,76.5
Rashad Vaughn,MIL,41,2,11.2,1.2,0.6,0.5,0.2,3.5,41,18,23,-7.6,44.9,5.2,11.2,-4.33,-0.35,52.528,2.0,7.0, SG,Milwaukee Bucks,1811040.0,15828,84.6
Tyler Zeller,BOS,51,5,10.3,2.4,0.8,0.1,0.4,3.5,51,32,19,0.2,50.8,8.5,10.3,-2.3,0.28,148.93,15.0,14.0, C,Boston Celtics,8000000.0,18553,99.6
Jared Sullinger,TOR,11,1,10.7,2.5,0.3,0.4,0.1,3.4,11,2,9,-15.8,36.6,2.7,10.7,-1.8,0.1,198.922,11.0,2.0, C,Toronto Raptors,5628000.0,19830,100.2
Henry Ellenson,DET,19,2,7.7,2.2,0.4,0.1,0.1,3.2,19,8,11,-2.0,44.4,7.6,7.7,-1.94,0.1,89.107,6.5,5.0, F,Detroit Pistons,1704120.0,15979,72.4
Fred VanVleet,TOR,37,0,7.9,1.1,0.9,0.4,0.1,2.9,37,25,12,12.1,44.3,7.8,7.9,-1.61,0.28,99.549,0.0,17.5, PG,Toronto Raptors,1312611.0,19830,100.2
Kyle Singler,OKC,32,2,12.0,1.5,0.3,0.2,0.2,2.8,32,15,17,0.8,48.6,4.6,12.0,-2.35,0.19,196.406,9.0,6.0, SF,Oklahoma City Thunder,4837500.0,18203,100.0
Mike Scott,ATL,18,0,10.8,2.1,0.9,0.2,0.2,2.5,18,7,11,-8.5,36.0,5.8,10.8,-2.66,0.06,2.705,2.0,1.0, PF,Atlanta Hawks,3333334.0,15958,85.2
James Young,BOS,29,0,7.6,0.9,0.1,0.3,0.1,2.3,29,16,13,-5.8,54.9,6.4,7.6,-2.16,0.14,4.97,0.0,12.0, SG,Boston Celtics,1825200.0,18553,99.6
Rakeem Christmas,IND,29,0,7.6,1.9,0.1,0.1,0.2,2.0,29,14,15,-10.6,52.9,4.9,7.6,-1.7,0.2,77.258,13.0,3.0, PF,Indiana Pacers,1471382.0,16697,91.9
Udonis Haslem,MIA,16,0,8.1,2.3,0.4,0.4,0.1,1.9,16,6,10,-23.8,52.4,7.3,8.1,-2.06,0.09,210.091,28.5,18.0, PF,Miami Heat,4000000.0,19643,100.2
Lamar Patterson,ATL,5,0,8.0,1.4,1.2,0.2,0.0,1.8,5,1,4,16.8,27.6,-0.4,8.0,-1.61,0.03,36.143,4.0,4.0, SG,Atlanta Hawks,246956.0,15958,85.2
Cole Aldrich,MIN,62,0,8.6,2.5,0.4,0.4,0.4,1.7,62,23,39,-0.2,54.9,7.6,8.6,0.01,1.04,119.275,22.0,9.0, C,Minnesota Timberwolves,7643979.0,14809,76.5
Nick Collison,OKC,20,0,6.4,1.6,0.6,0.1,0.1,1.7,20,10,10,-17.2,62.2,12.0,6.4,-1.06,0.17,144.787,10.0,12.0, PF,Oklahoma City Thunder,3750000.0,18203,100.0
Bruno Caboclo,TOR,9,0,4.4,1.1,0.4,0.2,0.1,1.6,9,8,1,6.2,43.8,9.4,4.4,-1.65,0.04,111.359,11.0,8.0, SF,Toronto Raptors,1589640.0,19830,100.2
Ryan Kelly,ATL,16,0,6.9,1.1,0.5,0.3,0.3,1.6,16,6,10,2.6,40.8,7.3,6.9,-0.49,0.08,10.16,17.0,10.0, PF,Atlanta Hawks,1577230.0,15958,85.2
Jordan Mickey,BOS,25,1,5.6,1.4,0.3,0.1,0.2,1.5,25,9,16,-17.1,47.3,6.0,5.6,-2.77,0.03,56.781,0.0,3.0, PF,Boston Celtics,1471382.0,18553,99.6
Alonzo Gee,DEN,13,0,6.8,1.2,0.5,0.4,0.1,0.8,13,4,9,1.4,30.6,0.8,6.8,-1.68,0.08,47.575,0.0,0.0, SF,Denver Nuggets,57672.0,14770,77.1
