PLAYER,TEAM_SH,G,GS,MP,TRB,AST,STL,BLK,PS/G,GP,W,L,NETRTG,TS%,PIE,MPG,RPM,WINS,pageviews,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,POSITION,TEAM,SALARY,AVG,PCT
J.J. Barea,DAL,35,6,22.0,2.4,5.5,0.4,0.0,10.9,35,11,24,1.8,52.1,13.4,22.0,-1.42,0.8,1.88,0.0,17.5, PG,Dallas Mavericks,4096950.0,19789,103.1
Justise Winslow,MIA,18,15,34.7,5.2,3.7,1.4,0.3,10.9,18,4,14,-0.4,39.9,5.9,34.7,-3.92,-0.31,281.526,88.5,33.5, SF,Miami Heat,2593440.0,19643,100.2
Allen Crabbe,POR,79,7,28.5,2.9,1.2,0.7,0.3,10.7,79,39,40,-2.8,60.2,7.4,28.5,-2.65,0.68,139.831,11.5,9.0, SG,Portland Trail Blazers,18500000.0,19317,99.4
Nikola Mirotic,CHI,70,15,24.0,5.5,1.1,0.8,0.8,10.6,70,37,33,4.7,54.6,10.4,24.0,2.23,5.69,2.682,119.0,50.5, PF,Chicago Bulls,5782450.0,21680,103.6
Marcus Smart,BOS,79,24,30.4,3.9,4.6,1.6,0.4,10.6,79,51,28,2.5,48.6,8.1,30.4,0.75,5.98,194.047,1.0,9.0, PG,Boston Celtics,3578880.0,18553,99.6
Wayne Ellington,MIA,62,13,24.2,2.1,1.1,0.6,0.1,10.5,62,35,27,2.7,56.5,8.2,24.2,0.66,3.58,96.963,18.0,12.0, SG,Miami Heat,6000000.0,19643,100.2
Josh Richardson,MIA,53,34,30.5,3.2,2.6,1.1,0.7,10.2,53,23,30,1.2,49.3,6.9,30.5,-1.57,1.57,138.306,42.0,10.0, SG,Miami Heat,1471382.0,19643,100.2
Maurice Harkless,POR,77,69,28.9,4.4,1.1,1.1,0.9,10.0,77,38,39,3.4,57.0,6.9,28.9,0.87,5.67,119.585,0.0,14.5, SF,Portland Trail Blazers,8988765.0,19317,99.4
Jamal Murray,DEN,82,10,21.5,2.6,2.1,0.6,0.3,9.9,82,40,42,1.0,51.8,7.8,21.5,-1.51,1.86,247.566,0.0,62.5, G,Denver Nuggets,3210840.0,14770,77.1
Kenneth Faried,DEN,61,34,21.2,7.6,0.9,0.7,0.7,9.6,61,29,32,-3.1,58.8,12.4,21.2,-1.62,1.27,162.539,14.0,8.0, PF,Denver Nuggets,12078652.0,14770,77.1
Nik Stauskas,PHI,80,27,27.4,2.8,2.4,0.6,0.4,9.5,80,27,53,-4.8,54.0,6.7,27.4,-2.57,0.78,200.937,28.0,11.0, SG,Philadelphia 76ers,2993040.0,17330,85.3
Michael Beasley,MIL,56,6,16.7,3.4,0.9,0.5,0.5,9.4,56,23,33,-1.6,58.4,11.6,16.7,-2.31,0.48,539.285,8.0,5.0, SF,Milwaukee Bucks,1403611.0,15828,84.6
Brandon Ingram,LAL,79,40,28.8,4.0,2.1,0.6,0.5,9.4,79,26,53,-8.0,47.4,5.5,28.8,-4.69,-2.32,773.717,194.0,100.0, F,Los Angeles Lakers,5281680.0,18949,99.4
Cory Joseph,TOR,80,22,25.0,2.9,3.3,0.8,0.2,9.3,80,49,31,2.0,51.8,8.9,25.0,-2.44,0.86,348.322,48.5,15.0, PG,Toronto Raptors,7315000.0,19830,100.2
Jeff Green,ORL,69,11,22.2,3.1,1.2,0.5,0.2,9.2,69,26,43,-9.1,50.5,7.7,22.2,-3.34,-0.21,7.284,57.5,28.5, SF,Orlando Magic,15000000.0,17753,94.2
Gerald Henderson,PHI,72,41,23.2,2.6,1.6,0.6,0.2,9.2,72,24,48,-8.4,52.9,7.3,23.2,-3.93,-0.87,54.097,1.0,8.0, SG,Philadelphia 76ers,9000000.0,17330,85.3
Jameer Nelson,DEN,75,39,27.3,2.6,5.1,0.7,0.1,9.2,75,34,41,1.1,54.4,7.5,27.3,0.01,4.17,159.24,0.0,9.0, PG,Denver Nuggets,4540525.0,14770,77.1
Tony Allen,MEM,71,66,27.0,5.5,1.4,1.6,0.4,9.1,71,36,35,1.2,49.3,8.0,27.0,0.12,3.76,7.154,10.5,11.0, SG,Memphis Grizzlies,5505618.0,16519,91.2
Channing Frye,CLE,74,15,18.9,3.9,0.6,0.4,0.5,9.1,74,44,30,1.0,61.2,10.1,18.9,1.04,3.7,451.543,8.0,4.0, PF,Cleveland Cavaliers,7806971.0,20562,100.0
Jodie Meeks,ORL,36,10,20.5,2.1,1.3,0.9,0.1,9.1,36,14,22,-5.4,56.7,8.1,20.5,-1.65,0.7,86.753,36.5,15.0, SG,Orlando Magic,6540000.0,17753,94.2
Kelly Olynyk,BOS,75,6,20.5,4.8,2.0,0.6,0.4,9.0,75,49,26,-0.4,60.3,11.0,20.5,0.5,3.54,191.661,56.5,16.0, C,Boston Celtics,3094014.0,18553,99.6
Evan Turner,POR,65,12,25.5,3.8,3.2,0.8,0.4,9.0,65,34,31,-4.5,49.1,8.8,25.5,-2.89,0.25,286.667,17.0,13.0, SG,Portland Trail Blazers,16393443.0,19317,99.4
DeMarre Carroll,TOR,72,72,26.1,3.8,1.0,1.1,0.4,8.9,72,44,28,3.3,53.0,7.1,26.1,0.83,4.66,235.229,29.5,8.0, SF,Toronto Raptors,14200000.0,19830,100.2
Al-Farouq Aminu,POR,61,25,29.1,7.4,1.6,1.0,0.7,8.7,61,33,28,1.8,50.6,9.2,29.1,1.27,4.86,221.189,33.0,9.0, SF,Portland Trail Blazers,7680965.0,19317,99.4
